,Dice score
0,0.9595179557800293
1,0.975764274597168
2,0.7945124506950378
3,0.9078840017318726
4,0.8731995820999146
5,0.9627673029899597
6,0.9519191384315491
7,0.9561307430267334
8,0.8157561421394348
9,0.9607996344566345
10,0.9675928950309753
11,0.7594594955444336
12,0.8462840914726257
13,0.9649178981781006
14,0.9549282193183899
15,0.7011287212371826
16,0.9156246781349182
17,0.9450464844703674
18,0.9587157964706421
19,0.9303900599479675
20,0.9598479270935059
21,0.9396700263023376
22,0.9653894305229187
23,0.9475082755088806
24,0.955216646194458
25,0.9534091949462891
26,0.9747747182846069
27,0.9383784532546997
28,0.9325700402259827
29,0.9362396597862244
30,0.9546328783035278
31,0.9428799748420715
32,0.970281720161438
33,0.9504765272140503
34,0.8970023393630981
35,0.9719620943069458
36,0.9533961415290833
37,0.8910356163978577
38,0.9140400290489197
39,0.9018118381500244
40,0.9208319783210754
41,0.9617488980293274
42,0.9358647465705872
43,0.942487895488739
44,0.9401184320449829
45,0.8694322109222412
46,0.9613773226737976
47,0.9427808523178101
48,0.9104843139648438
49,0.9195348024368286
50,0.958682119846344
51,0.9512025117874146
52,0.9545265436172485
53,0.5136797428131104
54,0.9585961699485779
55,0.6610203981399536
56,0.9604247808456421
57,0.9605922698974609
58,0.9390299916267395
59,0.9658588767051697
60,0.9237019419670105
61,0.7825420498847961
62,0.9585225582122803
63,0.7932092547416687
64,0.7538976073265076
65,0.9402757883071899
66,0.946112871170044
67,0.9360530376434326
68,0.956386923789978
69,0.9615247845649719
70,0.9765400290489197
71,0.9718263149261475
72,0.9695888757705688
73,0.9363342523574829
74,0.9597097039222717
75,0.9482632875442505
76,0.9244785308837891
77,0.9658923149108887
78,0.8294978141784668
79,0.9510486721992493
80,0.9596536159515381
