,Dice score
0,0.9502182006835938
1,0.9673817157745361
2,0.9559898376464844
3,0.9604535102844238
4,0.9549247026443481
5,0.9694592356681824
6,0.9722396731376648
7,0.9790116548538208
8,0.9564303159713745
9,0.915463387966156
10,0.9665667414665222
11,0.9712271094322205
12,0.9715398550033569
13,0.958514928817749
14,0.9472640156745911
15,0.9670406579971313
16,0.9308178424835205
17,0.958655595779419
18,0.973649263381958
19,0.9707307815551758
20,0.9531081318855286
21,0.925297200679779
22,0.9547787308692932
23,0.9374967813491821
24,0.956794261932373
25,0.9593187570571899
26,0.9739595055580139
27,0.9377219080924988
28,0.9645201563835144
29,0.9614169001579285
30,0.9276995062828064
31,0.9521766304969788
32,0.9625217318534851
33,0.9804368615150452
34,0.9665586352348328
35,0.9734342694282532
36,0.9547857046127319
37,0.9627058506011963
38,0.9732136726379395
39,0.9731272459030151
40,0.9652358293533325
41,0.9681581258773804
42,0.9816829562187195
43,0.9669728875160217
44,0.9747873544692993
45,0.9789435863494873
46,0.9500337839126587
47,0.9510149359703064
48,0.9445831179618835
49,0.9697885513305664
50,0.9453624486923218
51,0.977966845035553
52,0.9793846607208252
53,0.9717051386833191
54,0.9813335537910461
55,0.9758622050285339
56,0.9763306975364685
57,0.9716522097587585
58,0.9249453544616699
59,0.9750101566314697
60,0.9745626449584961
61,0.8907595276832581
62,0.9344609975814819
63,0.9543672800064087
64,0.9588674902915955
65,0.9748570919036865
66,0.865656316280365
67,0.9668577313423157
68,0.9571855664253235
69,0.9263182282447815
70,0.9575062394142151
71,0.955481767654419
72,0.960817813873291
73,0.9302736520767212
74,0.961397111415863
75,0.9652248620986938
76,0.9713252782821655
77,0.9754827618598938
78,0.9761651158332825
79,0.9793679118156433
80,0.9790007472038269
81,0.9615787267684937
82,0.9619957208633423
83,0.9501010179519653
84,0.9656602144241333
85,0.951834499835968
86,0.9477530717849731
87,0.95069420337677
88,0.976121723651886
89,0.9538224935531616
90,0.9337831735610962
91,0.9709945917129517
