,models,mean_train,median_train,25th_train,75th_train,mean_valid,median_valid,25th_valid,75th_valid
0,Custom,0.9498334205781931,0.9609836935997008,0.9460278153419496,0.9707959294319152,0.9234169717924094,0.956113874912262,0.9116793870925904,0.9668260216712952
1,3D,0.9639075910933664,0.9699203372001648,0.9612881541252136,0.9750203490257264,0.9334891850565686,0.956473171710968,0.9358364343643188,0.96698796749115
2,2D,0.9536712188215642,0.9638468623161316,0.9500337839126588,0.9727936387062072,0.930788650188917,0.9561198949813844,0.9258504509925842,0.9693339467048644
