,Dice score
0,0.9701880216598511
1,0.9546225070953369
2,0.9486787915229797
3,0.9477695226669312
4,0.9421241879463196
5,0.9592726230621338
6,0.9700685143470764
7,0.977787435054779
8,0.9525178074836731
9,0.9576834440231323
10,0.9585784077644348
11,0.9662575721740723
12,0.9771912097930908
13,0.9465028047561646
14,0.9525711536407471
15,0.9681620597839355
16,0.9342703223228455
17,0.9533440470695496
18,0.9730157256126404
19,0.9663910269737244
20,0.9316303730010986
21,0.9193087220191956
22,0.9526793360710144
23,0.9216309189796448
24,0.9502931237220764
25,0.9600796699523926
26,0.9715209603309631
27,0.9243496656417847
28,0.953476071357727
29,0.9539486169815063
30,0.9406600594520569
31,0.939773678779602
32,0.9364854097366333
33,0.9772434234619141
34,0.9682767987251282
35,0.9733343720436096
36,0.9546343088150024
37,0.9531916379928589
38,0.9732840657234192
39,0.9699977040290833
40,0.9609836935997009
41,0.968906819820404
42,0.9798413515090942
43,0.9470392465591431
44,0.9712082743644714
45,0.9778249263763428
46,0.9260187745094299
47,0.9418215751647949
48,0.9469538331031799
49,0.9759927988052368
50,0.9460278153419495
51,0.9758297801017761
52,0.9778423309326172
53,0.9617026448249817
54,0.9790754318237305
55,0.9790807366371155
56,0.9741915464401245
57,0.9750396609306335
58,0.9419279098510742
59,0.9687200784683228
60,0.9736565351486206
61,0.8790119290351868
62,0.9255285859107971
63,0.9612524509429932
64,0.9562539458274841
65,0.9708337187767029
66,0.768336832523346
67,0.9634891748428345
68,0.9599268436431885
69,0.9126983284950256
70,0.9616891741752625
71,0.9540785551071167
72,0.9721121191978455
73,0.9543421268463135
74,0.956076443195343
75,0.9543634653091431
76,0.9679065942764282
77,0.9733641147613525
78,0.9752624034881592
79,0.9788090586662292
80,0.9804859757423401
81,0.9557462334632874
82,0.9638880491256714
83,0.9247269034385681
84,0.9561368227005005
85,0.9390780329704285
86,0.957953691482544
87,0.9470587968826294
88,0.970527708530426
89,0.9505229592323303
90,0.9481009244918823
91,0.9662141799926758
92,0.9630794525146484
93,0.9709996581077576
94,0.970366895198822
95,0.9804285168647766
96,0.9676593542098999
97,0.9680890440940857
98,0.9702178835868835
99,0.9769508838653564
100,0.9815068244934082
101,0.9571539759635925
102,0.9568420648574829
103,0.9535840749740601
104,0.9541369676589966
105,0.9423519968986511
106,0.9545902609825134
107,0.904605507850647
108,0.9743999242782593
109,0.9679858684539795
110,0.8882914185523987
111,0.8880961537361145
112,0.9612631797790527
113,0.9589154720306396
114,0.9666107892990112
115,0.9583945870399475
116,0.9653394818305969
117,0.976189911365509
118,0.9256105422973633
119,0.9790061712265015
120,0.9677602648735046
121,0.9734903573989868
122,0.975814700126648
123,0.9683530330657959
